"","Divvy_trips2$member_casual","Divvy_trips2$day_of_the_week","Divvy_trips2$ride_id"
"1","casual","Sunday",548315
"2","member","Sunday",720853
"3","casual","Monday",354518
"4","member","Monday",531078
"5","casual","Tuesday",420993
"6","member","Tuesday",630172
"7","casual","Wednesday",427880
"8","member","Wednesday",609913
"9","casual","Thursday",384350
"10","member","Thursday",549586
"11","casual","Friday",557755
"12","member","Friday",625360
"13","casual","Saturday",678326
"14","member","Saturday",837226
