"","Divvy_trips2$member_casual","Divvy_trips2$day_of_the_week","Divvy_trips2$rideable_type","Divvy_trips2$ride_id"
"1","casual","Sunday","classic_bike",294283
"2","member","Sunday","classic_bike",394429
"3","casual","Monday","classic_bike",180949
"4","member","Monday","classic_bike",285081
"5","casual","Tuesday","classic_bike",211071
"6","member","Tuesday","classic_bike",336715
"7","casual","Wednesday","classic_bike",212789
"8","member","Wednesday","classic_bike",325016
"9","casual","Thursday","classic_bike",188146
"10","member","Thursday","classic_bike",288357
"11","casual","Friday","classic_bike",278905
"12","member","Friday","classic_bike",326721
"13","casual","Saturday","classic_bike",361312
"14","member","Saturday","classic_bike",450795
"15","casual","Sunday","docked_bike",42604
"16","member","Sunday","docked_bike",35840
"17","casual","Monday","docked_bike",18331
"18","member","Monday","docked_bike",13407
"19","casual","Tuesday","docked_bike",14504
"20","member","Tuesday","docked_bike",11551
"21","casual","Wednesday","docked_bike",14008
"22","member","Wednesday","docked_bike",9519
"23","casual","Thursday","docked_bike",13519
"24","member","Thursday","docked_bike",7970
"25","casual","Friday","docked_bike",25872
"26","member","Friday","docked_bike",16932
"27","casual","Saturday","docked_bike",47148
"28","member","Saturday","docked_bike",41562
"29","casual","Sunday","electric_bike",211428
"30","member","Sunday","electric_bike",290584
"31","casual","Monday","electric_bike",155238
"32","member","Monday","electric_bike",232590
"33","casual","Tuesday","electric_bike",195418
"34","member","Tuesday","electric_bike",281906
"35","casual","Wednesday","electric_bike",201083
"36","member","Wednesday","electric_bike",275378
"37","casual","Thursday","electric_bike",182685
"38","member","Thursday","electric_bike",253259
"39","casual","Friday","electric_bike",252978
"40","member","Friday","electric_bike",281707
"41","casual","Saturday","electric_bike",269866
"42","member","Saturday","electric_bike",344869
