"","Divvy_trips2$member_casual","Divvy_trips2$day_of_the_week","Divvy_trips2$rideable_type","Divvy_trips2$ride_length_2"
"1","casual","Sunday","classic_bike",1505.08673623689
"2","member","Sunday","classic_bike",1303.76498685441
"3","casual","Monday","classic_bike",1167.37865365379
"4","member","Monday","classic_bike",910.966567396635
"5","casual","Tuesday","classic_bike",1047.49861421038
"6","member","Tuesday","classic_bike",869.983339025585
"7","casual","Wednesday","classic_bike",981.949630854978
"8","member","Wednesday","classic_bike",865.935523174244
"9","casual","Thursday","classic_bike",1074.10829887428
"10","member","Thursday","classic_bike",908.457849124523
"11","casual","Friday","classic_bike",1129.19911797924
"12","member","Friday","classic_bike",986.482411598887
"13","casual","Saturday","classic_bike",1408.52288326986
"14","member","Saturday","classic_bike",1237.23741390211
"15","casual","Sunday","docked_bike",5682.21012111539
"16","member","Sunday","docked_bike",6969.65290178571
"17","casual","Monday","docked_bike",4350.74464022694
"18","member","Monday","docked_bike",5896.41083016335
"19","casual","Tuesday","docked_bike",3773.00055157198
"20","member","Tuesday","docked_bike",4292.64652411047
"21","casual","Wednesday","docked_bike",3718.17961165049
"22","member","Wednesday","docked_bike",6930.28049164828
"23","casual","Thursday","docked_bike",4517.99689326134
"24","member","Thursday","docked_bike",5454.8130489335
"25","casual","Friday","docked_bike",4964.25092764378
"26","member","Friday","docked_bike",6124.05386250886
"27","casual","Saturday","docked_bike",4949.29498600153
"28","member","Saturday","docked_bike",4957.1156344738
"29","casual","Sunday","electric_bike",1106.84147794994
"30","member","Sunday","electric_bike",1001.9162101148
"31","casual","Monday","electric_bike",909.407876937348
"32","member","Monday","electric_bike",818.175158003354
"33","casual","Tuesday","electric_bike",825.950117184702
"34","member","Tuesday","electric_bike",771.470773945925
"35","casual","Wednesday","electric_bike",828.522948235306
"36","member","Wednesday","electric_bike",765.861179905439
"37","casual","Thursday","electric_bike",817.960095245915
"38","member","Thursday","electric_bike",745.295053680225
"39","casual","Friday","electric_bike",883.910537675213
"40","member","Friday","electric_bike",836.229060690718
"41","casual","Saturday","electric_bike",1053.25939540364
"42","member","Saturday","electric_bike",992.934766534539
